trial,cv_score,mac,n_factors,optional,all_factors
45,0.5435776453633338,0.03032467525211701,7,x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_parkinson_volatility,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_parkinson_volatility
56,0.5365882380530396,0.0433343818257772,7,x_amihud_volatility|x_price_impact|x_price_ma250_dev|x_price_volume_trend,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_price_ma250_dev|x_price_volume_trend
12,0.5014535434331376,0.04338321177648973,11,x_amihud_volatility|x_adx|x_kyle_lambda_lag|x_ma_afternoon_ret|x_spread_8h|x_price_ma250_dev|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_adx|x_kyle_lambda_lag|x_ma_afternoon_ret|x_spread_8h|x_price_ma250_dev|x_price_volume_trend|x_open_interest
70,0.4922944134092419,0.0395526273741703,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_parkinson_volatility|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_parkinson_volatility|x_open_interest
62,0.4885661257153547,0.04586967354016099,9,x_amihud_volatility|x_adx|x_kyle_lambda_lag|x_price_ma250_dev|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_adx|x_kyle_lambda_lag|x_price_ma250_dev|x_price_volume_trend|x_open_interest
4,0.47843505234401934,0.03836156938007456,8,x_amihud_volatility|x_price_impact|x_spread_8h|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_spread_8h|x_price_volume_trend|x_open_interest
15,0.45015320149484445,0.045524759868951964,9,x_amihud_volatility|x_price_impact|x_adx|x_price_ma250_dev|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_adx|x_price_ma250_dev|x_price_volume_trend|x_open_interest
46,0.424959326177754,0.03377253604327716,7,x_amihud_volatility|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
65,0.4112915661276557,0.027519203426749055,5,x_price_impact|x_kyle_lambda_lag,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_kyle_lambda_lag
61,0.3963259879634109,0.04487125546152797,9,x_amihud_volatility|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_price_volume_trend|x_open_interest
