trial,score,cv_score,mac,n_factors,optional,all_factors
22,5.680706516762711,5.699349547634939,0.07457212348891151,7,x_stoch_k|x_price_ma250_dev|x_kurtosis|x_price_impact|x_boll_lower|x_open_interest|x_liquidity_indicator,x_stoch_k|x_price_ma250_dev|x_kurtosis|x_price_impact|x_boll_lower|x_open_interest|x_liquidity_indicator
12,5.515821815016486,5.538008880023383,0.08874826002758565,7,x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_boll_lower|x_open_interest|x_liquidity_indicator,x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_boll_lower|x_open_interest|x_liquidity_indicator
11,5.515821815016486,5.538008880023383,0.08874826002758565,7,x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_boll_lower|x_open_interest|x_liquidity_indicator,x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_boll_lower|x_open_interest|x_liquidity_indicator
40,5.501701408970284,5.523883350318215,0.08872776539172286,8,x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_amihud_illiquidity|x_parkinson_volatility|x_open_interest|x_liquidity_indicator,x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_amihud_illiquidity|x_parkinson_volatility|x_open_interest|x_liquidity_indicator
39,5.501701408970284,5.523883350318215,0.08872776539172286,8,x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_amihud_illiquidity|x_parkinson_volatility|x_open_interest|x_liquidity_indicator,x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_amihud_illiquidity|x_parkinson_volatility|x_open_interest|x_liquidity_indicator
26,5.43612840604351,5.467906438115035,0.12711212828609894,8,x_skewness|x_stoch_k|x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_boll_lower|x_open_interest,x_skewness|x_stoch_k|x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_boll_lower|x_open_interest
32,5.415181980994538,5.446988746654466,0.12722706263971487,8,x_skewness|x_stoch_k|x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_volume_ma_ratio|x_open_interest,x_skewness|x_stoch_k|x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_volume_ma_ratio|x_open_interest
25,5.326999899123501,5.349744998136455,0.09098039605181452,8,x_p_ret_20h|x_stoch_k|x_price_ma250_dev|x_kurtosis|x_price_impact|x_amihud_illiquidity|x_boll_lower|x_open_interest,x_p_ret_20h|x_stoch_k|x_price_ma250_dev|x_kurtosis|x_price_impact|x_amihud_illiquidity|x_boll_lower|x_open_interest
17,5.319837691141011,5.339715825788362,0.0795125385894066,6,x_stoch_k|x_price_ma250_dev|x_price_impact|x_boll_lower|x_open_interest|x_liquidity_indicator,x_stoch_k|x_price_ma250_dev|x_price_impact|x_boll_lower|x_open_interest|x_liquidity_indicator
31,5.265646115338763,5.288859736594801,0.09285448502415067,10,x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_boll_lower|x_open_interest|x_liquidity_indicator,x_stoch_k|x_momentum_20d|x_price_ma250_dev|x_market_depth_imbalance|x_volatility_ratio|x_kurtosis|x_price_impact|x_boll_lower|x_open_interest|x_liquidity_indicator
18,5.103068901469328,5.135865173424905,0.13118508782230595,9,x_p_ret_20h|x_momentum_20d|x_ease_of_movement|x_price_ma250_dev|x_kurtosis|x_price_impact|x_turnover|x_open_interest|x_liquidity_indicator,x_p_ret_20h|x_momentum_20d|x_ease_of_movement|x_price_ma250_dev|x_kurtosis|x_price_impact|x_turnover|x_open_interest|x_liquidity_indicator
36,4.989843573716263,5.0162255076719635,0.10552773582280021,8,x_skewness|x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_boll_lower|x_price_volume_trend|x_open_interest|x_liquidity_indicator,x_skewness|x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_boll_lower|x_price_volume_trend|x_open_interest|x_liquidity_indicator
34,4.948109990694293,4.982832128021295,0.13888854930800765,9,x_skewness|x_p_ret_20h|x_stoch_k|x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_amihud_illiquidity|x_boll_lower,x_skewness|x_p_ret_20h|x_stoch_k|x_ease_of_movement|x_price_ma250_dev|x_price_impact|x_turnover|x_amihud_illiquidity|x_boll_lower
