,factor,ic_ir,residual_ic_ir
46,x_ad_line_240min,0.6326223618429113,0.36093075209449293
47,x_ma_midday_ret,,0.35749451605330484
48,x_session_sin,0.27858205578854567,0.34622982970800775
49,x_high_low_ratio_60min,0.22398999960962485,0.3454090202992432
50,x_volume_profile_60min,0.450169838876325,0.3448742928877251
51,x_high_low_ratio_60min_1,0.2197001181439349,0.3446582222145845
52,x_volume_profile_240min_1,0.2513017508879832,0.34134792678705644
53,x_high_low_ratio_240min_1,0.17317299077983306,0.33793122282112503
54,x_high_low_ratio_240min,0.159622260827081,0.3371630600645928
55,x_money_flow_ratio_60min_1,0.37200457811885884,0.3360338916096664
56,x_mfi_60min_1,0.37200457811885884,0.3360338916096664
57,x_vwap_60min_1,0.7150954479323786,0.3322103950031385
58,x_price_channel_breakout_240min,0.04833362531400946,0.3287204813829085
59,x_fractal_dim_60min_1,0.3303316513724144,0.3285897599865402
60,x_money_flow_ratio_60min,0.4159463175589908,0.325759854659276
61,x_mfi_60min,0.4159463175589908,0.325759854659276
62,x_kurtosis_240min_1,0.33774070342323814,0.32527331424958217
63,x_volume_profile_240min,0.21964513577561018,0.3145255218356484
64,x_vwap_240min_1,0.7318545984541549,0.3101970117038426
65,x_turnover_x_1,0.5588147620000413,0.3095366929461397
66,x_vwap_pv_1,0.5586529988744338,0.30951387788778123
67,x_price_reversal_60min_1,0.04218252161113371,0.3069836365657986
68,x_fractal_dim_60min,0.37693362143286846,0.30441322551990974
69,x_kurtosis_240min,0.3085271494094713,0.2990550475608721
70,x_turnover_x,0.5026789254536291,0.2966171142824939
71,x_vwap_pv,0.5026452783574811,0.29642037157101886
72,x_rel_vol_240min,0.20579399776354096,0.295714558652845
73,x_skew_60min_1,0.19180599860956007,0.28904276441232735
74,x_obv_60min,0.6388025913841799,0.2871957599975494
75,x_intraday_return_240min,0.016688895655556136,0.2864852444132648
76,x_hurst_240min_1,0.2759750316340983,0.2828490542793369
77,x_overnight_vol_240min,0.47758049748115117,0.28174553379254563
78,x_gap_ratio_240min,0.47758049748115117,0.28098249486842336
79,x_overnight_return_240min,0.47758049748115117,0.28098249486842336
80,x_hurst_240min,0.2809336840296131,0.27953628995700397
81,x_ease_of_movement_60min,0.06166859686587597,0.27693654481927893
82,x_obv_60min_1,0.6349163091701845,0.2752061246573667
83,x_vpin_zscore_60min,0.29282089541909023,0.2749747738211359
84,x_fractal_dim_240min,0.33761247480784573,0.2730457637730471
85,x_chaikin_osc_60min,0.0415952764601173,0.2712413240753403
86,x_skew_60min,0.1442685583009599,0.270737833650772
87,x_bvwap_60min,0.7233211565825608,0.2700341512517686
88,x_trend1_60min_1,0.04794580769341345,0.26999337555609515
89,x_vol_weighted_return_60min,0.1181750001268426,0.266254335952758
90,x_spread_6h,,0.2652385150612438
91,x_fractal_dim_240min_1,0.3426104888136027,0.262261792037968
92,x_vol_weighted_return_60min_1,0.13146018787370414,0.26163311923707444
93,x_ad_line_60min_1,0.871078519388621,0.26112705305916667
94,x_ad_line_60min,0.8938238357066062,0.2608174691263606
95,x_volume_x_1,0.3878557078549172,0.26012489760499014
96,x_volume_x,0.36014763556596785,0.2522066486884095
97,x_gap_ratio_240min_1,0.3687032196597733,0.2518289296062714
98,x_overnight_return_240min_1,0.3687032196597733,0.2518289296062714
99,x_overnight_vol_240min_1,0.3687032196597733,0.25143313797373806
