trial,score,cv_score,fold_std,mean_abs_corr,n_factors,optional,all_factors
22,1.7051856740448081,2.1297933276991032,0.11559443355779235,0.09843061461718139,10,x_ma_ret_12h|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio|x_volume_ma_ratio|x_price_delta_1|x_spread_12h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio|x_volume_ma_ratio|x_price_delta_1|x_spread_12h|x_trend_strength_1
20,1.64878173265034,2.027370694169375,0.09781075842268534,0.11435584607614017,9,x_ma_ret_12h|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_volume_ma_ratio|x_spread_8h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_volume_ma_ratio|x_spread_8h|x_trend_strength_1
36,1.644493548398491,2.0306735964609626,0.0959082724826793,0.09410675136767355,9,x_ma_ret_12h|x_spread_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_volume_ma_ratio|x_spread_12h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_spread_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_volume_ma_ratio|x_spread_12h|x_trend_strength_1
19,1.5777617458783997,1.9792050521387246,0.21346516194284323,0.07623249743298584,9,x_ma_ret_12h|x_amihud_volatility_1|x_high_low_ratio|x_volume_ma_ratio|x_price_delta_1|x_spread_12h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_amihud_volatility_1|x_high_low_ratio|x_volume_ma_ratio|x_price_delta_1|x_spread_12h|x_trend_strength_1
34,1.5411713616161091,1.9121555464961792,0.2667586388331883,0.08223660486913253,8,x_ma_ret_12h|x_amihud_volatility_1|x_high_low_ratio_1|x_volume_ma_ratio|x_spread_8h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_amihud_volatility_1|x_high_low_ratio_1|x_volume_ma_ratio|x_spread_8h|x_trend_strength_1
30,1.5197989676132795,1.9369885674014102,0.32174610721005525,0.06875839915252355,10,x_ma_ret_12h|x_amihud_volatility_1|x_high_low_ratio_1|x_volume_ma_ratio_1|x_price_delta_1|x_spread_12h|x_session_sin_1|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_amihud_volatility_1|x_high_low_ratio_1|x_volume_ma_ratio_1|x_price_delta_1|x_spread_12h|x_session_sin_1|x_trend_strength_1
17,1.4541979645645162,1.8330808096400961,0.2747415827697229,0.10990910296869301,8,x_ma_ret_12h|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio|x_volume_ma_ratio|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio|x_volume_ma_ratio|x_trend_strength_1
24,1.4363924798225673,1.9614235964306024,0.22708356773422772,0.10012446643214055,12,x_ma_ret_12h|x_spread_20h_1|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_boll_lower_1|x_volume_ma_ratio|x_price_delta_1|x_spread_8h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_spread_20h_1|x_ma_ret_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_boll_lower_1|x_volume_ma_ratio|x_price_delta_1|x_spread_8h|x_trend_strength_1
37,1.4112403694041544,1.7929815307645907,0.43846374756776013,0.1269646454417446,9,x_ma_ret_8h|x_spread_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_price_volume_trend|x_volume_ma_ratio|x_spread_12h,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_spread_20h|x_amihud_volatility_1|x_high_low_ratio_1|x_price_volume_trend|x_volume_ma_ratio|x_spread_12h
23,1.257063391593457,1.8053840698810615,0.5725506294813142,0.08259570432820706,10,x_ma_ret_12h|x_ma_ret_4h_1|x_amihud_volatility|x_high_low_ratio|x_volume_ma_ratio|x_price_delta_1|x_spread_12h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_ma_ret_4h_1|x_amihud_volatility|x_high_low_ratio|x_volume_ma_ratio|x_price_delta_1|x_spread_12h|x_trend_strength_1
12,1.1744061230257454,1.6487735092762796,0.2912263154468838,0.08056344853066079,9,x_ma_ret_8h|x_spread_20h|x_ma_ret_4h_1|x_amihud_volatility_1|x_high_low_ratio|x_volume_ma_ratio|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_spread_20h|x_ma_ret_4h_1|x_amihud_volatility_1|x_high_low_ratio|x_volume_ma_ratio|x_trend_strength_1
38,1.1459738614834514,1.6164881703351508,0.33280173626965504,0.08205723540679781,11,x_ma_ret_12h|x_spread_20h_1|x_amihud_volatility_1|x_high_low_ratio|x_boll_lower_1|x_volume_ma_ratio_1|x_price_delta_1|x_spread_12h|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_ma_ret_12h|x_spread_20h_1|x_amihud_volatility_1|x_high_low_ratio|x_boll_lower_1|x_volume_ma_ratio_1|x_price_delta_1|x_spread_12h|x_trend_strength_1
26,1.0442565211287362,1.5885524838166414,0.29521929663867774,0.10714867945456437,9,x_ma_ret_8h|x_amihud_volatility_1|x_high_low_ratio|x_boll_lower_1|x_volume_ma_ratio|x_price_delta_1|x_spread_12h,x_vwap|x_ma_ret_4h|x_ma_ret_8h|x_amihud_volatility_1|x_high_low_ratio|x_boll_lower_1|x_volume_ma_ratio|x_price_delta_1|x_spread_12h
13,1.0427805813353048,1.5448915645038115,0.24351331540768748,0.0736991590315833,9,x_spread_20h|x_ma_ret_4h_1|x_amihud_volatility_1|x_high_low_ratio|x_price_volume_trend|x_volume_ma_ratio|x_trend_strength_1,x_vwap|x_ma_ret_4h|x_spread_20h|x_ma_ret_4h_1|x_amihud_volatility_1|x_high_low_ratio|x_price_volume_trend|x_volume_ma_ratio|x_trend_strength_1
