,IC_mean,IC_std,IC_abs_mean,ICIR,valid_rate
x_trend_8slot,0.011305538,0.027658213,0.025219548,0.4087588,0.5673027036375166
x_turnover_y,0.011240766,0.026131213,0.024521086,0.43016624,0.6540612209603966
x_ofi_8slot,0.011191578,0.015072842,0.016436806,0.7424995,0.33417882054533926
x_ma_ret_12h,0.010830238,0.028325284,0.02577592,0.38235232,0.6118637228339194
x_bvwap_v,0.010653085,0.023765458,0.020296117,0.44825917,0.4170749985588286
x_price_impact_8slot,0.0104100965,0.018794507,0.018289253,0.55389035,0.4174208796910129
x_trend1_8slot,0.01032524,0.03214219,0.028360708,0.32123637,0.6133048942180204
x_spread_1h,0.0101269055,0.027798517,0.025084205,0.3642966,0.589669683518764
x_price_jump_240min,0.010001388,0.03534046,0.029918123,0.2830011,0.6062143310082435
x_distribute_8slot,0.00944515,0.027651042,0.02396406,0.34158388,0.5390557445091371
x_volume_profile_240min,0.008551746,0.019744439,0.015924718,0.43312168,0.2987836513518188
x_p_ret_1h,0.00829687,0.017440187,0.01631512,0.4757328,0.37960454257220266
x_return_1_8slot,0.008296715,0.017439997,0.016314803,0.4757291,0.37954689571683864
x_log_return_1_8slot,0.008296715,0.017439997,0.016314803,0.4757291,0.37954689571683864
x_p_ret_2h,0.00792169,0.021426732,0.01719314,0.3697106,0.3503199400472704
x_spread_20h,0.0077618277,0.028030409,0.022397164,0.27690738,0.4489537095751427
x_adx_8slot,0.007631894,0.02006477,0.017320486,0.38036287,0.3409235026229319
x_bid_ask_proxy_240min,0.0072648716,0.020280607,0.017659942,0.35821763,0.355508157030034
x_high_low_ratio_240min,0.0070998077,0.02033621,0.01769181,0.34912142,0.35913990891796854
x_delta_l2,0.006886344,0.023864783,0.019040816,0.28855672,0.3661728252723814
x_overnight_vol_8slot,0.00638495,0.0149796605,0.0134814065,0.42624128,0.2317980054188044
x_overnight_return_8slot,0.0063832123,0.014977135,0.013476355,0.42619714,0.23162506485271228
x_gap_ratio_8slot,0.0063832123,0.014977135,0.013476355,0.42619714,0.23162506485271228
x_intraday_return_240min,0.0061781225,0.013645258,0.013072924,0.45276698,0.17853231106243153
x_vol_mom_240min,0.0061295102,0.02734307,0.022464415,0.2241705,0.48215829826482964
x_bvwap_pv,0.006094571,0.02451932,0.019642737,0.24856198,0.4209949847235833
x_klinger_240min,0.005664148,0.016262049,0.013459579,0.34830466,0.2425203205165158
x_intraday_return_8slot,0.0055996547,0.019876141,0.01806463,0.28172743,0.4404796218366288
x_price_channel_breakout_240min,0.0055355118,0.0317429,0.027240565,0.17438582,0.61272842566438
x_gap_ratio_240min,0.0053111673,0.02117544,0.017647114,0.2508173,0.361330489421802
x_overnight_return_240min,0.0053111673,0.02117544,0.017647114,0.2508173,0.361330489421802
x_overnight_vol_240min,0.0053081256,0.021175254,0.017644037,0.25067586,0.3613881362771661
x_price_delta_8slot,0.0052493354,0.022857605,0.020084005,0.22965376,0.4499337061163314
