datetime,date,time,prediction,actual_return,strategy_return,daily_volume,position,cumulative_value,price,is_switch,signal,price_return
2023-04-03 22:59:00,2023-04-03,22:59,0.0003001417175140167,0.005938548928479115,0.005938548928479115,0,1.0,1.9735377640124496,7792.0,False,1.0,0.005938548928479115
2023-04-04 11:29:00,2023-04-04,11:29,0.001047274288271585,0.00693018480492813,0.00693018480492813,0,1.0,1.9804679488173775,7846.0,False,1.0,0.00693018480492813
2023-04-04 14:59:00,2023-04-04,14:59,0.0018892612626423247,-0.0020392556716798405,-0.0020392556716798405,0,1.0,1.9784286931456978,7830.0,False,1.0,-0.0020392556716798405
2023-04-06 11:29:00,2023-04-06,11:29,0.0019698784015340356,0.0045977011494253706,0.0045977011494253706,0,1.0,1.9830263942951232,7866.0,False,1.0,0.0045977011494253706
2023-04-06 14:59:00,2023-04-06,14:59,-0.0006803847768456489,-0.01093312992626494,-0.01093312992626494,0,1.0,1.9720932643688582,7780.0,False,0.0,-0.01093312992626494
2023-04-06 22:59:00,2023-04-06,22:59,0.0019286496969281876,0.0007712082262210096,0.0,1,0.0,1.9720932643688582,7786.0,False,1.0,0.0007712082262210096
2023-04-07 11:29:00,2023-04-07,11:29,0.0013916262068483939,-0.01001798099152329,-0.01001798099152329,1,1.0,1.962075283377335,7708.0,False,1.0,-0.01001798099152329
2023-04-07 14:59:00,2023-04-07,14:59,0.0019290657008188467,0.0018162947586921607,0.0018162947586921607,0,1.0,1.963891578136027,7722.0,False,1.0,0.0018162947586921607
2023-04-10 11:29:00,2023-04-10,11:29,0.0013981728653536733,-0.008288008288008242,-0.008288008288008242,0,1.0,1.955603569848019,7658.0,False,1.0,-0.008288008288008242
2023-04-10 14:59:00,2023-04-10,14:59,1.0884983719900744e-05,0.0,0.0,0,1.0,1.955603569848019,7658.0,False,1.0,0.0
2023-04-10 22:59:00,2023-04-10,22:59,-0.0007348666757298468,0.012274745364324824,0.012274745364324824,0,1.0,1.9678783152123436,7752.0,False,0.0,0.012274745364324824
2023-04-11 11:29:00,2023-04-11,11:29,-0.00013791365890935116,0.017801857585139302,0.0,1,0.0,1.9678783152123436,7890.0,False,0.0,0.017801857585139302
2023-04-11 14:59:00,2023-04-11,14:59,0.001022895109423421,0.0010139416983523386,0.0,1,0.0,1.9678783152123436,7898.0,False,1.0,0.0010139416983523386
