,factor,ic_ir,residual_ic_ir
121,x_turnover_y,0.3393401911893298,0.12167409178257295
122,x_volume_y,0.18818413031290157,0.1210475085186855
123,x_boll_upper_60min,0.870762557848874,0.11866254130448788
124,x_klinger_60min,6.075327138609744e-05,0.11829583515430968
125,x_vol_mom_60min,0.07625391446653661,0.11463384235285762
126,x_ma_afternoon_ret,,0.11461318514700691
127,x_mom20_240min,0.1876713312191301,0.1143175031296851
128,x_vol_change_rate_60min,0.2032490253186206,0.11402715236234008
129,x_adx_240min,0.09411264785011582,0.113438889138464
130,x_donchian_pos_60min,0.271806127176376,0.11237255753323326
131,x_boll_lower_240min,0.7825125760490829,0.10844602054912311
132,x_market_depth_imbalance_60min,0.024521968552076723,0.10758840331186373
133,x_intraday_vol_240min,0.02193925004204136,0.10684344383323148
134,x_vol_accel_60min,0.08019236605998477,0.10506084990686358
135,x_macd_hist_60min,0.1879060860527207,0.10464421713251143
136,x_p_ret_6h,0.34241044569438234,0.10372802442789827
137,x_volatility_60min,0.2815682728193462,0.10359282717036589
138,x_ofi_60min,0.20133447081797307,0.10235154556120118
139,x_log_return_1_60min,0.15009612917937248,0.09977897578893351
140,x_realized_vol_60min,0.28251533475280227,0.09922320323228996
141,x_p_ret_1h,0.15008141374080147,0.0987223396929726
142,x_vpin_zscore_240min,0.0996260362600493,0.09867952831713209
143,x_return_1_60min,0.15009612917937248,0.09865768748468438
144,x_ma60_240min,0.9882335329102423,0.09748200204344235
145,x_bvwap_pv,0.14188351354790585,0.09610644704918467
146,x_trend_break_60min,0.03315278506199566,0.09516134109992047
147,x_open_interest_y,0.024968727605489186,0.09224148728080042
148,x_bvwap_v,0.39233429183125246,0.09173734423263373
149,x_realized_vol_240min,0.0447282063652761,0.09011125345609505
150,x_adx_60min,0.16372492427558474,0.08920646511099123
151,x_volatility_240min,0.048708513766100275,0.08904222786859568
152,x_stoch_d_240min,0.029025966047230276,0.08674293288848775
153,x_delta_l2,0.008077522392492263,0.08556297867434964
154,x_open_interest_x,0.01147300537013631,0.08554751848852196
155,x_ultosc_60min,0.1934902476626076,0.08279806371572933
156,x_rel_vol_60min,0.005376475985925854,0.08173241181623923
157,x_vol_ma_ratio_60min,0.050421954667024975,0.08149881906887965
158,x_qstick_240min,0.04017423899040386,0.08021462922743557
159,x_ad_240min,0.14016125658061487,0.08016235847991328
160,x_bvwap_slope_60min,0.4923097631295237,0.07938100398926075
161,x_close_pos_ratio_60min,0.130134519269225,0.07819200036444239
162,x_parkinson_vol_240min,0.19858407062804043,0.07621114222220847
163,x_ma_ret_8h,,0.07311918949650924
164,x_bid_ask_proxy_240min,0.16130622749249265,0.07289703208719403
165,x_vol_ratio_10_30_60min,0.1783693318098554,0.07139337075717297
166,x_bid_ask_proxy_60min,0.22474704275712606,0.06596463539399158
167,x_vwap_slope_240min,0.16452758253416291,0.0651176971926937
168,x_keltner_pos_240min,0.10532480378703132,0.06392120886024219
169,x_intraday_return_60min,0.06768155189484845,0.06373385569214544
170,x_macd_60min,0.040984946294078464,0.06365316912928069
171,x_boll_pos_60min,0.27386935798031664,0.06245570549838315
172,x_p_ret_12h,0.21130655381877017,0.06203151227005682
173,x_boll_pos_240min,0.0719376012613702,0.060216488996408676
174,x_atr_60min,0.40874014816056964,0.05842921668168603
175,x_pvt_60min,0.7252295196809543,0.05654188942800618
176,x_liquidity_60min,0.1391263437205596,0.05164076083766057
177,x_vol_change_rate_240min,0.021673795314837308,0.05101371585699121
178,x_mfi_240min,0.08865785245623832,0.05053847768766353
179,x_money_flow_ratio_240min,0.08865785245623832,0.05053847768766353
180,x_aroon_osc_60min,0.13857907270960548,0.05016822828675929
181,x_williams_r_240min,0.1318898401226347,0.05006487260417873
182,x_linearreg_ma_60min,0.17762957113428776,0.049417884907113574
183,x_price_delta_60min,0.13315291319841852,0.044559593011563724
184,x_ease_of_movement_240min,0.1294803219001293,0.04446546584240554
185,x_atr_240min,0.48501310886333193,0.04213369660501179
186,x_macd_signal_60min,0.006170893457219295,0.0399425548032335
187,x_mom5_240min,0.10353442927452543,0.039935286369271884
188,x_roc_60min,0.24727831658636854,0.039856221037083306
189,x_qstick_60min,0.09401513868186473,0.03643565826705265
190,x_spread_20h,,0.035988383749017
191,x_trix_60min,0.0017172833668432509,0.03295886379149413
192,x_macd_240min,0.012289584854582754,0.03288449846151682
193,x_macd_hist_240min,0.03255938239114423,0.03283300595384581
194,x_snr_60min,0.13486466253767246,0.03184056964579219
195,x_price_impact_240min,0.0651084522350808,0.03142321279517307
196,x_williams_r_60min,0.3498408275834701,0.02959902189519679
197,x_delta,0.19559926772299616,0.028885497045628143
198,x_sar_diff_60min,0.2491655667943716,0.028714408347355974
199,x_effort_vs_result_60min,0.19832084066863784,0.02805919316559558
200,x_pvt_240min,0.7174497852889891,0.026383499906790012
201,x_aroon_osc_240min,0.01809172708078867,0.024554385291164122
202,x_p_ret_8h,0.3054838726478909,0.023302718746182054
203,x_cci_240min,0.09630746462282226,0.023111635934500118
204,x_vol_ratio_60min,0.055264284244989206,0.022942964947899634
205,x_macd_signal_240min,0.015758757900317815,0.021645505135353366
206,x_vol_ratio_10_30_240min,0.09460225156036858,0.019625784083417624
207,x_chaikin_osc_240min,0.07090653022402428,0.01946521752995318
208,x_roc_240min,0.03267630999023772,0.019137653921496366
209,x_obv_240min,0.796892035623218,0.0182185236322353
210,x_vol_price_corr_240min,0.036782114099619095,0.01820141491924189
211,x_parkinson_vol_60min,0.21492362967126014,0.017017175837551194
212,x_price_accel_60min,0.11211235129539353,0.016506998580859505
213,x_trix_240min,0.01952281893124791,0.015698478953477975
214,x_delta_x_vpin_60min,0.18010311677507723,0.013989468145588987
215,x_keltner_pos_60min,0.24769703672953988,0.013628588381985838
216,x_sharpe_60min,0.1655883944182324,0.008968966436315189
217,x_vpin_zscore_filtered_240min,0.099392679712091,0.0021388364035816185
218,x_cci_60min,0.29210273865522135,0.001486226122499443
219,x_ma_ret_12h,,0.0009171157700324598
