factor,icir,residual_icir
x_ma20_ma60_8slot,0.13642633984500357,0.37435891972597274
x_boll_upper_240min_1,0.8264079694204625,0.371228674262303
x_ma5_ma20_240min_1,0.2212120260523068,0.3688917487186391
x_ma5_ma20_240min,0.21172387568679224,0.3669356748396702
x_high_low_ratio_240min_1,0.08002666125219887,0.36465675493738037
x_high_low_ratio_240min,0.06911582197763247,0.3636705812171738
x_high_low_ratio_8slot_1,0.2556821797280858,0.36266254245378793
x_vol_price_corr_8slot,0.31017028637297994,0.36264762328023253
x_high_low_ratio_8slot,0.26875216287601233,0.36249688272400704
x_money_flow_ratio_240min,0.4926281869120533,0.3622965448351233
x_mfi_240min,0.4926498198146694,0.3622965448351233
x_p_ret_20h_1,0.2594234221408703,0.3601038303062054
x_mom20_8slot_1,0.2594234221408703,0.3601037926782526
x_qstick_240min,0.3232095284552973,0.35971663506038215
x_macd_hist_240min_1,0.3404395383648463,0.358597334485782
x_boll_upper_240min,0.8368649712047593,0.3573773158025183
x_cvd_8slot_1,0.13584616856004508,0.35617802716056174
x_price_impact_240min_1,0.40366306025512294,0.35590164281411385
x_ma_midday_ret_1,,0.35466470700068364
x_linearreg_ma_240min,0.2858815322887826,0.3526370351101813
x_qstick_240min_1,0.3286297542065077,0.3511992447930635
x_bvwap_dev_8slot,0.019900820906108393,0.35096477751054905
x_price_channel_breakout_240min_1,0.23003355823344226,0.34951420757142193
x_roc_8slot,0.02839815838614484,0.34816645789194073
x_ma5_ma20_8slot_1,0.18454626374390737,0.3456607485862889
x_ma5_ma20_8slot,0.13838669821592253,0.34470668901253854
x_ease_of_movement_240min,0.27489226256078214,0.34305791262109486
x_liquidity_240min_1,0.05352611045724113,0.34221366015799165
x_cvd_8slot,0.151949899212893,0.34169840418479996
x_p_ret_8h_1,0.09567510337765081,0.34153358316114163
x_boll_lower_240min,0.722439673641538,0.3402992330853454
x_vwap_240min_1,0.8064301133538089,0.33920202678989114
x_vol_change_rate_8slot,0.12469610745227976,0.3341468231619789
x_kurtosis_240min,0.3031832178210442,0.33313442197507664
x_boll_lower_240min_1,0.7244351469616956,0.3325952082623258
x_mfi_240min_1,0.4846994435788073,0.3315977687837313
x_money_flow_ratio_240min_1,0.48477947711885555,0.3315977687837313
x_roc_240min,0.27980101482408704,0.3309864965663939
x_rel_vol_8slot_1,0.2439752944843664,0.33037205393888047
x_realized_vol_240min_1,0.1041981917255811,0.3276183130979987
x_close_pos_ratio_240min,0.3509735357239311,0.3267304970257363
x_fractal_dim_8slot_1,0.36813584704367536,0.3261295295393899
x_volatility_240min_1,0.08743422678379081,0.3235293579405763
x_volume_profile_8slot,0.4645281082012703,0.3223332112309957
x_delta,0.4599584896507394,0.3220360259239528
x_spread_8h_1,,0.32131043014171057
x_effort_vs_result_8slot,0.4596647663993336,0.32084341098267116
x_bvwap_dev_8slot_1,0.1165596576952462,0.3200807104087247
x_ma_ret_1h,,0.3178303636622501
x_ease_of_movement_240min_1,0.27779926389228515,0.3136998286010549
x_liquidity_240min,0.07825553891194703,0.3133952410479406
x_price_ma250_dev_8slot,0.28087830216119297,0.3120170811566691
x_parkinson_vol_240min,0.045193976135117254,0.3105380263745419
x_price_delta_volume_8slot,0.2212707895905894,0.31034534348744225
x_roc_240min_1,0.2811548910058788,0.3103393806185989
x_realized_vol_240min,0.08856364038155033,0.30505131580080025
x_volume_profile_240min_1,0.24194917615418496,0.3046265700801337
x_fractal_dim_8slot,0.428015714004215,0.3037028607242631
x_price_ma250_dev_8slot_1,0.28093449210288407,0.3029541081322553
x_price_reversal_8slot_1,0.00520090967471375,0.30263778357012067
x_intraday_return_240min_1,0.07257011517987112,0.30190267646558533
x_mfi_8slot,0.25669025450902977,0.3015374133521988
x_money_flow_ratio_8slot,0.25676967588835753,0.3015374133521988
x_williams_r_240min,0.17112103679007223,0.3015348686676409
x_snr_8slot_1,0.2193560996273599,0.30153261084574406
x_volatility_240min,0.07725379153479184,0.30033228542564966
x_price_accel_8slot,0.40075614423469086,0.29943233200669406
x_trend_break_8slot,0.03259566091116538,0.297641010868308
x_vwap_240min,0.8174735688733366,0.29727988089049334
x_bvwap_slope_8slot,0.11509408770815195,0.2972661920069722
x_kurtosis_240min_1,0.2703039392233919,0.2950551505945383
x_keltner_pos_8slot_1,0.14907924896946767,0.2946143269299973
x_log_return_1_240min_1,0.016132021861708163,0.29337632119555423
x_cci_8slot,0.033957601938638775,0.2930812139755586
x_return_1_240min_1,0.016132021861708163,0.292877934894123
x_parkinson_vol_240min_1,0.06289635694275048,0.29187172498519376
x_ma60_240min,1.0176507894160511,0.2890308642852356
x_ma60_240min_1,1.023146231740474,0.2888258641596208
x_cci_8slot_1,0.10168689004656561,0.2868797864828297
x_williams_r_240min_1,0.1942669127187507,0.28653877070272327
x_price_channel_breakout_240min,0.23773913217265855,0.2860997702198861
x_fractal_dim_240min_1,0.2711692680117801,0.28606083007598615
x_ma_ret_20h,,0.28319322713107725
x_hurst_240min,0.1865203077744142,0.28313985958768734
x_macd_8slot,0.21454605556394973,0.2827588002165051
x_snr_8slot,0.1587169053532674,0.2767605232822212
x_hurst_240min_1,0.16958923564198308,0.2745275354904855
x_ma_ret_2h_1,,0.27292954839473726
x_linearreg_ma_8slot,0.0750542481586461,0.27172889968061636
x_fractal_dim_240min,0.24532049602879386,0.27170487484225575
x_volume_profile_8slot_1,0.38031065425251015,0.27138505966040305
x_ma_bar_ret_1,,0.27115603746866845
x_keltner_pos_8slot,0.0496745550091579,0.26642014161901345
x_ma_ret_1h_1,,0.2658087207805212
x_trend_break_8slot_1,0.02937899914241987,0.25819237417568064
x_mfi_8slot_1,0.19137176642078818,0.25661438074105175
x_money_flow_ratio_8slot_1,0.19142700613364907,0.25661438074105175
x_macd_8slot_1,0.21285591827865058,0.2561730752509077
x_ma_ret_20h_1,,0.25569437817431523
x_chaikin_osc_8slot_1,0.1370275538344891,0.2523545500883357
x_rel_vol_8slot,0.131065961875519,0.24908607704031802
x_vwap_dev_240min_1,0.26535651021842116,0.24869142074381906
x_vwap_dev_240min,0.24954163241493085,0.248682048490923
x_bid_ask_proxy_240min,0.06598463169489766,0.24543653646823776
x_price_accel_240min_1,0.30750372744519455,0.24351257981888433
