,factor,ic_ir,residual_ic_ir
65,x_price_ma250_dev,0.5957717320590334,0.5909764783214377
66,x_boll_lower_1,0.7787836932613369,0.5857639961238718
67,x_ma_ret_1h,0.6939580781354506,0.5820867112090782
68,x_spread_8h_1,0.5653648221141939,0.5771142437868024
69,x_volume_change_rate_1,0.4706674454379807,0.5729869613200604
70,x_p_ret_20h,0.9138995652909905,0.5723621119920282
71,x_boll_lower,0.7535944957251846,0.5685268762580162
72,x_price_acceleration_1,0.6059751105780532,0.5662029176885832
73,x_spread_6h_1,0.5426628620818518,0.5597501282269746
74,x_close_position_ratio_1,0.3972978054649219,0.5578963683568648
75,x_market_depth_imbalance,0.03533775307245381,0.553271924481125
76,x_overnight_return,0.7457787488081029,0.5493970315191554
77,x_overnight_volatility,0.7457787488081029,0.548713453697027
78,x_linearreg_ma_1,0.5202981602914958,0.5486922902967556
79,x_rsi_14d_1,0.0789519733212478,0.5460623202746177
80,x_ma_ret_1h_1,0.5799208709509719,0.5415694967453193
81,x_spread_6h,0.6825750281353579,0.5391842240001771
82,x_ma_ret_20h_1,0.5471549944953475,0.5306614770990645
83,x_ma_ret_2h,0.6125341842590432,0.5261503162327944
84,x_spread_12h_1,0.5070970400825388,0.5235149169864644
85,x_adx_1,0.21779914464856817,0.513375580976899
86,x_money_flow_ratio,0.1506034438530242,0.48470683246107404
87,x_money_flow_index,0.1506034438530242,0.48470683246107404
88,x_stoch_k,0.2982378538840408,0.48374420249873806
89,x_ofi_1,0.5236960820815367,0.4836850859760825
90,x_distribute_1,0.10033267631199176,0.4771009136209775
91,x_bollinger_position,0.4026711406320226,0.47346259555850817
92,x_relative_volume,0.012203698247085424,0.4676903066936751
93,x_volume_change_rate,0.5487991384370781,0.4561202818653223
94,x_adx,0.12845174633583287,0.44512992554091885
95,x_volatility_ratio_1,0.19482901303775935,0.44205481302563066
96,x_hurst_exponent,0.18941987244739794,0.4395391664956931
97,x_hurst_exponent_1,0.16366135722456765,0.436380034239237
98,x_keltner_position,0.3993981627017459,0.43015840762407287
99,x_trend,0.9084476580840456,0.4291050834827931
100,x_spread_4h_1,0.37725648286943125,0.42714139778430027
101,x_ma_afternoon_ret,0.3946115128540891,0.41728298367479605
102,x_aroon_up,0.1913369706745288,0.4153146133026861
103,x_ofi,0.7372201212293639,0.41402651143872876
104,x_price_acceleration,0.8714217571792687,0.4100791794899333
105,x_liquidity_indicator,0.320572745267294,0.40932393742435913
106,x_donchian_position_1,0.22092344000411546,0.409201913382014
107,x_parkinson_volatility_1,0.0757787980236835,0.4073244027598017
108,x_volatility_ratio,0.26497376450656057,0.39980808131391127
109,x_trend1_1,0.3382398525803387,0.39976067857458436
110,x_effort_vs_result_1,0.46764554423038485,0.3991545964180414
111,x_spread_2h_1,0.35153735775465633,0.3974881683884645
112,x_return_1d,0.9473737807804038,0.39615720327459
113,x_p_ret_2h,0.9473737807804038,0.39615720327459
114,x_p_ret_1h,0.9473737807804038,0.39615720327459
115,x_delta_1,0.4670395934637008,0.39564089967349514
116,x_parkinson_volatility,0.04605607604716471,0.3885004620234324
117,x_log_return_1d,0.9473737807804038,0.3869838145195421
118,x_linearreg_ma,0.21734634219931934,0.3857718099145208
119,x_intraday_return_1,0.4610012869940641,0.3826345583145911
120,x_p_ret_20h_1,0.39543229464019247,0.3762027082279828
121,x_buy_vol_1,0.229010368524155,0.3685018567760067
122,x_ma_bar_ret_1,0.38114194583457767,0.36522610101811304
123,x_bid_ask_spread_proxy_1,0.04967120069187667,0.3619241792874342
124,x_sell_vol_1,0.19540814660024905,0.36053089684487055
125,x_bid_ask_spread_proxy,0.00982927370770612,0.3494860223313805
126,x_effort_vs_result,0.7656331211805381,0.3458741449027108
127,x_delta,0.7653893217863226,0.34158223118000997
128,x_stoch_d,0.05404420876393536,0.3190784502862602
129,x_spread_1h_1,0.26380886444104096,0.3189407832186387
130,x_aroon_up_1,0.15883610496741657,0.31797644102903583
131,x_aroon_down,0.1853673512487613,0.3178151566084588
132,x_keltner_position_1,0.20601569442754772,0.3138995162901425
133,x_volume_price_correlation_1,0.3019124813032356,0.311953057601348
134,x_liquidity_indicator_1,0.3325063741242818,0.3043803254821962
135,x_bollinger_position_1,0.12944577372005148,0.29965451481450023
136,x_absorption_1,0.7877399775832886,0.29952663123139833
137,x_money_flow_ratio_1,0.05011507944524084,0.2979000675765743
138,x_money_flow_index_1,0.05011507944524084,0.2979000675765743
139,x_stoch_k_1,0.01721339024574967,0.2969614676408683
140,x_intraday_volatility,0.0136723030739519,0.2783950599929019
141,x_volume_price_correlation,0.2473747326624038,0.26686565118347855
142,x_intraday_return,0.6593382675969349,0.25929730581493643
143,x_volume_momentum,0.19308933504155773,0.2544071967855203
144,x_price_delta_volume,0.11005211015704804,0.2420218008964253
145,x_aroon_oscillator,0.20035858849367186,0.23673154368724103
146,x_aroon_oscillator_1,0.2360195442513305,0.23532681580646342
147,x_cci,0.3586805600721429,0.23357443860799995
148,x_turnover_1,0.011492667613306955,0.2266530590567837
149,x_parabolic_sar_1,1.0872579451272995,0.22558170459639337
150,x_price_channel_breakout,0.19583716441008606,0.2197283453128464
151,x_chaikin_oscillator_1,0.21461743647379478,0.21696329229348307
152,x_realized_volatility,0.45500966972669793,0.21436212868625268
153,x_vwap_dev_1,0.25816164855268353,0.20846183737610213
154,x_price_delta,0.09659196174585999,0.19448357654793705
155,x_aroon_down_1,0.02968600023039104,0.1936559127214355
156,x_volume_weighted_return_1,0.17278711879792724,0.18985182578513057
157,x_chaikin_oscillator,0.10249837145926027,0.18908638483005355
158,x_macd_signal_1,0.19640458112172635,0.18794928290051152
159,x_turnover,0.3789964031250642,0.1828930128790206
160,x_boll_upper,1.2556597203296447,0.17896535379955034
161,x_accumulation_distribution_1,0.9293695417209935,0.1777591774551404
162,x_qstick_1,0.18871506420061665,0.1772267457704613
163,x_trix_1,0.17583782772222714,0.16739391244176216
164,x_macd_signal,0.17026583170181608,0.16710133514307912
165,x_price_channel_breakout_1,0.2980042690861835,0.1622224678151171
166,x_volume_weighted_return,0.06848553923460393,0.1582968016778671
167,x_accumulation_distribution,0.8899191798662649,0.15809754383794247
168,x_trix,0.1509195228936731,0.15198819472025193
169,x_stoch_d_1,0.1413741168584804,0.14673927500601439
170,x_macd_1,0.14475130185873739,0.14356555167748147
171,x_realized_volatility_1,0.3677550065248093,0.14281012696585554
172,x_williams_r,0.5346606276128715,0.13169567590377967
173,x_atr,0.6638281535193072,0.12904777450671723
